Ensembl_ID,TCGA-V1-A8MM-01A,TCGA-EJ-A46H-01A,TCGA-V1-A8MK-01A,TCGA-X4-A8KS-01A,TCGA-VP-A87C-01A,TCGA-EJ-A46I-01A,TCGA-EJ-7321-01A,TCGA-EJ-7321-11A,TCGA-KK-A59Z-01A,TCGA-G9-6378-01A,TCGA-EJ-8469-01A,TCGA-KK-A59X-01A,TCGA-HC-8257-01A,TCGA-HC-8259-01A,TCGA-HC-8259-11A,TCGA-HC-8260-01A,TCGA-HC-8260-11A,TCGA-QU-A6IO-01A,TCGA-HC-A4ZV-01A,TCGA-VP-A87J-01A,TCGA-KK-A8IF-01A,TCGA-EJ-A65M-01A,TCGA-KK-A6DY-01A,TCGA-VP-A875-01A,TCGA-KC-A4BL-01A,TCGA-KK-A6E5-01A,TCGA-G9-7509-01A,TCGA-EJ-5511-01A,TCGA-VP-A87E-01A,TCGA-EJ-7789-01A,TCGA-EJ-7789-11A,TCGA-VN-A88M-01A,TCGA-YL-A8HO-01A,TCGA-V1-A8MU-01A,TCGA-EJ-A65E-01A,TCGA-V1-A8WL-01A,TCGA-V1-A8MF-01A,TCGA-V1-A8WN-01A,TCGA-HC-8256-01A,TCGA-HC-7737-01A,TCGA-HC-7737-11A,TCGA-HC-8261-01A,TCGA-KK-A6E3-01A,TCGA-EJ-7782-01A,TCGA-EJ-7782-11A,TCGA-G9-7523-01A,TCGA-KK-A6E2-01A,TCGA-HC-7077-01A,TCGA-KK-A7AV-01A,TCGA-V1-A8ML-01A,TCGA-V1-A8MG-01A,TCGA-YL-A9WK-01A,TCGA-HC-8258-01A,TCGA-HC-8258-01B,TCGA-HC-8258-11A,TCGA-KK-A7AW-01A,TCGA-EJ-8470-01A,TCGA-VN-A88R-01A,TCGA-KC-A4BN-01A,TCGA-XJ-A83G-01A,TCGA-KK-A5A1-01A,TCGA-KK-A8I5-01A,TCGA-J4-8198-01A,TCGA-KK-A6E4-01A
ENSG00000105664.9,13.50146403,8.791162889,7.924812504,7.918863237,14.38936246,7.055282436,10.40301202,10.14593215,9.710806434,9.292321633,10.3376219,12.58965115,8.826548487,6.247927513,6.475733431,11.66578003,5.285402219,11.58543205,11.28077077,12.27554256,12.6343573,10.26209485,10.81137469,12.74819285,9.837627933,11.81297947,9.442943496,13.06777046,9.292321633,10.98868469,10.12541347,9.829722735,8.731319031,9.411510988,8.366322214,9.192292814,8.511752654,9.527477006,7.882643049,12.18394547,9.194756854,11.436191,8.584962501,12.95219522,8.290018847,13.32249154,6.965784285,12.03376711,11.64655871,8.982993575,10.73555602,9.296916207,10.32192809,5.727920455,5.554588852,11.6379833,11.99364606,12.52918651,5.129283017,7.531381461,12.16333519,11.42469119,10.05799172,6.857980995
ENSG00000159263.14,10.99576715,6.129283017,11.38801729,10.59339112,11.69479315,12.45891921,12.27903014,9.577428828,11.16239133,11.42888355,11.53138146,11.91401133,11.70476824,13.33831855,10.23601419,12.23810614,7.839203788,10.74651432,11.93258387,12.33455263,10.65194861,12.06474276,12.15671514,13.57978733,11.10721708,11.31797782,12.74020239,13.45827844,11.68431031,12.49060021,8.413627929,12.36139553,11.24198315,11.47421294,12.73851453,12.35314683,11.19229281,12.47598669,12.03204573,11.74693414,6.044394119,13.05018877,10.79279029,12.90086681,9.881113961,9.607330314,11.53770375,11.99647349,12.85447883,12.47876962,11.04234338,12.64588355,12.57056729,10.64925618,6.022367813,8.689997971,12.78504371,11.9436137,12.38019047,11.37612539,12.37286506,11.57837269,12.63934071,12.29347165
ENSG00000166743.8,9.278449458,9.224001674,11.44449729,10.94982671,8.86727874,13.09687984,13.49934763,11.37558251,7.87036472,11.14402087,10.77725532,13.89443885,9.116343961,13.79085755,10.28540222,12.18394547,10.52943055,12.9909903,12.10033382,10.68562484,13.4478581,13.58425789,12.68584381,13.55782266,9.079484784,13.76497523,12.84568606,14.20983409,10.86882255,14.88783938,11.41151099,13.25959616,12.6163191,11.23900176,13.04780555,12.07614753,11.59944798,9.625708843,15.20135818,11.03686045,7.721099189,10.95419631,12.51545346,13.94927958,11.49785184,8.592457037,11.38424412,9.592457037,12.82972274,8.17990909,9.084808388,11.12799432,13.6906528,9.77148947,7.787902559,9.714245518,14.93833909,13.70520038,12.14210706,14.15971369,9.477758266,13.92555444,13.05985141,13.78637174
ENSG00000225937.1,10.53040634,7.794415866,13.09819661,12.47548013,12.29088282,13.6570951,14.2822921,7.658211483,6.569855608,11.89405985,12.93663794,9.815383296,9.505811554,16.21445194,7.118941073,12.67375074,7.189824559,13.30206767,7.0,14.95342349,6.491853096,14.6285025,14.78212799,14.75373907,12.57624813,14.90834571,15.37893829,14.4343676,13.09044328,10.1176431,11.98121049,14.34485068,12.8273427,14.58178903,15.69185255,14.79090844,13.24362029,13.75697323,15.87087038,11.46964182,3.807354922,16.16508364,14.32656993,10.96072599,9.294620749,14.59175608,13.088457,16.40917544,14.74394028,15.49850644,12.70735913,15.30517113,12.45891921,12.10066234,4.321928095,14.31288296,16.67017213,9.588714636,12.13346335,14.28467953,13.97638512,14.89600121,13.46454575,15.41722621
ENSG00000242110.6,11.59572369,8.348728154,8.807354922,10.37829486,12.88168756,9.741466986,13.203348,9.177419538,9.984418459,11.41468524,10.83999107,12.47598669,8.854868383,14.33887563,9.182394353,11.03686045,8.558420713,9.250298418,10.29920802,14.70411979,13.65698342,11.9465408,13.20426546,13.36440828,7.942514505,12.79887677,13.4228532,15.04469294,12.11015702,10.73555602,10.28193003,12.30833903,11.2737956,10.58308277,13.38990017,13.29935114,13.62239506,11.73724734,12.34512799,9.763212367,8.731319031,12.99276135,11.26912668,10.5574637,9.493855449,9.936637939,12.17586138,15.67917767,11.53527538,12.53211237,9.497851837,11.91475884,11.97297979,7.741466986,8.661778098,13.31132259,13.23332008,12.03651707,10.00140819,11.94909716,10.03617361,13.92972074,10.74483384,14.55062656
ENSG00000242899.1,9.588714636,8.321928095,10.41151099,10.89330153,11.80856203,9.63481105,12.6805793,8.861086906,11.44242519,11.08878824,12.6617781,9.162391329,9.049848549,13.10852446,8.392317423,11.43201985,9.487840034,10.43879185,11.97369737,12.72664392,9.670656249,10.72536626,13.04575966,13.56176526,10.6329952,11.33539035,12.08945048,12.67485431,9.73470962,11.19044202,9.491853096,12.70951466,9.079484784,11.61378946,12.88893347,12.15797845,9.62388149,11.50084188,11.37883671,9.136991112,3.169925001,9.746514321,11.43775207,10.10852446,9.422064766,8.392317423,13.27641524,12.58613609,8.813781191,12.39473063,10.65284497,9.746514321,10.16239133,7.948367232,2.0,11.85564717,12.43045255,13.17788666,12.25944905,11.01052811,9.326429487,12.69457554,13.03634535,13.27946549
ENSG00000280623.1,9.840777924,9.216745858,13.93452019,13.44229559,14.63617144,13.55062656,15.30947635,9.909893084,12.58143599,10.55650605,14.28634117,11.10983065,11.89860139,15.35238833,8.939579214,14.55362929,7.686500527,12.40247917,10.67683861,13.55134778,9.647458426,15.50770174,14.70114399,16.10031328,9.71596199,8.0,15.03720374,15.9269677,13.52552081,9.447083226,11.12992693,14.96135925,11.44397954,12.01924322,15.1754326,11.52012755,12.38208359,15.45984782,14.93774162,8.463524373,8.247927513,12.83447105,12.55170826,8.948367232,7.383704292,8.523561956,13.81858218,10.72962074,8.060695932,14.13274069,8.092757141,12.85545251,12.96199223,12.99063583,8.921840937,15.42035502,9.346513733,13.45635442,12.26414934,13.25827158,10.52552081,13.57459353,15.46314117,15.35287105
