Ensembl_ID,TCGA-V1-A8MM-01A,TCGA-EJ-A46H-01A,TCGA-V1-A8MK-01A,TCGA-X4-A8KS-01A,TCGA-VP-A87C-01A,TCGA-EJ-A46I-01A,TCGA-EJ-7321-01A,TCGA-EJ-7321-11A,TCGA-KK-A59Z-01A,TCGA-G9-6378-01A,TCGA-EJ-8469-01A,TCGA-KK-A59X-01A,TCGA-HC-8257-01A,TCGA-HC-8259-01A,TCGA-HC-8259-11A,TCGA-HC-8260-01A,TCGA-HC-8260-11A,TCGA-QU-A6IO-01A,TCGA-HC-A4ZV-01A,TCGA-VP-A87J-01A,TCGA-KK-A8IF-01A,TCGA-EJ-A65M-01A,TCGA-KK-A6DY-01A,TCGA-VP-A875-01A,TCGA-KC-A4BL-01A,TCGA-KK-A6E5-01A,TCGA-G9-7509-01A,TCGA-EJ-5511-01A,TCGA-VP-A87E-01A,TCGA-EJ-7789-01A,TCGA-EJ-7789-11A,TCGA-VN-A88M-01A,TCGA-YL-A8HO-01A,TCGA-V1-A8MU-01A,TCGA-EJ-A65E-01A,TCGA-V1-A8WL-01A,TCGA-V1-A8MF-01A,TCGA-V1-A8WN-01A,TCGA-HC-8256-01A,TCGA-HC-7737-01A,TCGA-HC-7737-11A,TCGA-HC-8261-01A,TCGA-KK-A6E3-01A,TCGA-EJ-7782-01A,TCGA-EJ-7782-11A,TCGA-G9-7523-01A,TCGA-KK-A6E2-01A,TCGA-HC-7077-01A,TCGA-KK-A7AV-01A,TCGA-V1-A8ML-01A,TCGA-V1-A8MG-01A,TCGA-YL-A9WK-01A,TCGA-HC-8258-01A,TCGA-HC-8258-01B,TCGA-HC-8258-11A,TCGA-KK-A7AW-01A,TCGA-EJ-8470-01A,TCGA-VN-A88R-01A,TCGA-KC-A4BN-01A,TCGA-XJ-A83G-01A,TCGA-KK-A5A1-01A,TCGA-KK-A8I5-01A,TCGA-J4-8198-01A,TCGA-KK-A6E4-01A
ENSG00000004468.11,13.03273453,11.79441587,12.59128858,11.05324713,11.45635442,12.25473339,9.400879436,14.24391776,6.918863237,11.00912879,5.672425342,7.714245518,13.01924322,13.2822197,13.77900111,13.83693796,13.92444139,13.31529111,7.21916852,5.672425342,5.247927513,9.946906274,9.214319121,5.285402219,10.50481899,13.55410915,12.81598363,12.1091777,10.68211676,5.285402219,14.45449209,10.07815081,9.011227255,11.75988818,9.243173983,12.55961609,9.273795599,11.83368075,11.31854281,12.72877085,11.37612539,12.69021628,12.37693932,8.28077077,13.5070513,7.21916852,6.794415866,11.55458885,12.64408159,13.45955969,11.87075,6.845490051,13.10066234,11.04848687,14.32762281,10.70130646,12.55458885,9.594324604,12.00035218,9.942514505,10.27961058,9.544964433,9.882643049,11.89026428
ENSG00000004776.10,10.44604941,12.64498286,12.33957168,12.40274562,10.99717948,11.67065625,9.06608919,12.82316818,11.76901132,12.80695233,7.936637939,8.832890014,9.583082768,11.80936621,12.17242751,10.64655871,11.74651432,10.857981,10.033423,9.594324604,7.768184325,11.08746284,10.04302728,8.758223215,12.02513956,9.83447105,11.68255574,11.41996018,14.59898297,7.8008999,12.29777606,10.49884921,11.92221272,12.34401844,10.49385545,10.89026428,10.60362634,11.92592526,9.985841937,11.45481335,13.11048331,10.32530546,12.60293079,10.28540222,11.51274046,14.73100075,9.312882955,9.315149562,10.2737956,11.65463603,10.58025857,12.38747887,11.70606427,13.20930105,10.56510208,9.627533884,9.873444113,9.581200582,10.08613623,9.988684687,9.675957033,10.53040634,11.26502894,10.71681946
ENSG00000004799.7,9.211888295,12.56152662,12.99329224,9.654636029,10.83605036,9.121533517,11.65776504,14.55752353,12.33063682,11.891404,7.77478706,8.577428828,9.335390355,10.73809226,12.8077574,13.55194853,13.3327359,10.20457114,10.80009099,10.99223026,9.632995197,10.357552,11.70735913,7.832890014,12.34900472,9.577428828,13.25222191,11.36303963,12.79461893,7.375039431,13.73078853,10.90538701,9.840777924,11.61148594,12.07714952,12.12767197,12.31628153,13.13859179,10.44708323,15.70649602,15.58287702,10.08081753,10.23840474,9.259743264,11.44811631,12.99258434,8.888743249,10.67860014,10.67683861,10.99435344,10.59339112,13.44436787,12.74504401,11.86920825,17.62911467,7.266786541,11.41415668,9.654636029,12.96452137,9.977279923,9.876516947,12.84529402,12.15291858,8.487840034
ENSG00000006118.13,11.60733031,8.87958325,10.12412131,8.451211112,10.90538701,9.283088353,10.97154355,9.465566405,12.19136771,10.47065887,10.35645197,11.82296909,11.61424973,11.50581155,9.346513733,11.62113611,8.924812504,12.01297365,12.38990017,12.31288296,11.40832974,11.03479896,11.87690059,11.70303839,11.0313566,11.26268214,11.26150731,11.90726625,9.816983623,12.00035218,9.084808388,11.32080055,9.419960178,10.6411486,9.46760555,10.05120894,10.05256805,10.40620501,10.84470576,10.76487159,8.658211483,10.93516505,11.35700209,11.03891899,8.686500527,10.27612441,11.8761332,13.29289676,10.67419227,11.14274528,10.712527,12.07714952,10.49884921,6.64385619,7.592457037,11.58683979,11.51175265,9.214319121,10.29232163,10.14338321,11.8419574,11.22158712,11.97548976,13.50878516
ENSG00000012223.11,8.977279923,10.92184094,10.01680829,14.30648896,16.36743182,13.79715487,14.4603279,13.34637522,13.3079123,11.36358725,9.612868497,7.366322214,13.33817925,8.717676423,12.45429929,8.707359132,10.06474276,14.4068029,10.85174904,7.599912842,4.95419631,14.91541259,16.19844504,8.54689446,14.46900579,12.32249154,8.285402219,13.45763738,14.79243446,4.700439718,14.80307161,9.573647187,10.3376219,14.68682877,15.24885411,14.30235333,12.86263736,7.614709844,9.321928095,15.28843355,17.67779533,15.10697181,14.82510785,14.65329295,14.59163922,7.64385619,9.665335917,12.90801726,15.36550227,12.60640521,9.17990909,7.06608919,15.66416947,14.11967067,16.6695633,15.54999519,17.17987022,6.672425342,13.05052891,12.11991379,9.5980525,4.95419631,9.303780748,10.82495874
ENSG00000018236.13,8.965784285,11.13891172,10.85486838,9.303780748,10.5849625,9.434628228,9.428360173,11.90275194,9.995767151,11.48834228,8.426264755,9.01402047,11.57412044,8.299208018,11.91811785,10.72024426,10.88034881,8.807354922,10.24198315,8.997179481,7.515699838,9.303780748,10.01402047,8.744833837,11.29576893,10.17242751,10.7968508,11.67727919,9.315149562,8.62935662,12.17461365,8.209453366,10.86805085,11.0986901,9.887220615,10.4429435,9.487840034,10.89405985,9.071462363,11.17990909,10.92925841,10.32418055,10.53527538,11.29232163,11.42940674,13.49573013,8.939579214,8.622051819,9.461479447,10.39660478,10.69522829,10.92999806,10.94763694,11.05460432,9.465566405,6.491853096,10.68825031,8.370687407,8.603626345,7.592457037,10.34096276,9.465566405,11.68167766,8.569855608
ENSG00000022267.15,11.71209705,13.88426593,13.59770342,11.54158066,12.66688971,13.16553514,11.36959735,14.37034685,13.02997735,13.68573433,11.08347933,11.49535539,11.89519657,12.79948401,15.16321724,13.08281434,14.14656868,11.22520744,10.6794801,11.4003458,10.41045135,11.99506047,11.83959748,11.3140167,13.50133962,12.04439412,12.62821768,14.04328366,15.88197427,10.77148947,14.73184934,10.18239435,12.58894882,13.66378045,10.95274125,12.95546829,11.67065625,13.66133275,11.25797706,12.55218876,13.61712305,12.56081047,12.2261111,13.05951346,14.09292228,16.21737084,10.82813648,10.77231457,10.78299821,12.43123641,12.62548055,13.19367935,13.32277318,12.52576548,13.19167615,9.224001674,10.89481776,11.47573343,12.09671515,10.79522797,11.57364719,12.61010206,13.82714419,11.21431912
ENSG00000039139.9,10.41996018,8.124121312,10.49785184,9.99859043,11.20089861,9.77807713,10.88340699,8.689997971,9.038918989,10.19105921,9.705632387,10.49285462,11.77437527,12.04882741,9.129283017,10.21674586,8.129283017,9.970105891,10.43879185,9.197216693,11.05052891,11.18982456,10.05663772,11.37232095,9.911391988,12.10558118,10.90989308,12.56581611,10.59058705,12.20120501,9.874981348,10.23840474,8.810571635,11.54689446,11.02306125,10.76321237,10.14593215,12.17305246,12.09110476,11.37177664,6.339850003,12.63458419,8.262094845,12.32277318,8.909893084,9.571752644,11.46760555,12.32586758,11.06002035,10.71424552,10.84313591,10.74735383,10.36959735,9.47370575,5.727920455,10.15481811,11.93663794,9.497851837,11.02721489,10.14720492,10.29347165,10.98584194,12.37829486,10.5028318
ENSG00000043591.5,11.66266838,9.97441459,10.39874369,9.786269628,10.56795608,10.23720996,11.51865316,10.81778312,8.071462363,9.548821908,8.672425342,11.04780555,10.13955135,11.28135051,9.436711542,10.6891244,10.22881869,11.38747887,11.15987134,11.20273604,10.48582931,11.41626974,10.97584797,11.21249639,8.813781191,10.59991284,11.71810471,10.4314976,10.51274046,10.60177079,10.82575383,11.67154107,9.552669098,10.37068741,11.99682653,9.831307244,10.83526092,10.24911345,10.23361968,10.50481899,4.754887502,10.95274125,10.2772874,11.78994113,9.599912842,7.400879436,10.63753055,11.10263189,10.97871046,10.6617781,9.972979786,10.37612539,11.36850646,9.562242424,3.700439718,8.665335917,11.51816136,10.00982862,10.22400167,10.24317398,11.40779885,10.32755264,11.10525378,12.97244137
ENSG00000058668.13,11.06137119,13.39204904,13.42442876,11.40514146,12.63185913,12.92407019,11.58120058,13.64363075,12.74336181,12.2647358,10.22520744,10.14338321,11.52061868,12.51889899,13.21704891,12.8612808,13.27699674,11.30947635,10.40832974,10.81137469,8.912889336,11.21249639,11.89330153,10.26561505,13.00088028,11.57506646,13.13859179,13.2982058,12.31004468,10.75905594,13.09044328,9.861086906,12.24317398,12.84646981,10.57175264,11.60269887,11.12412131,13.64103567,11.37123213,12.62319564,13.98868469,12.25473339,11.62798978,12.48733762,12.27699674,14.26729877,10.34540525,10.54109662,11.32136443,12.13185696,11.84352853,12.20945337,12.46505617,13.18332522,12.58683979,9.511752654,12.01297365,9.893301531,11.48884435,9.693486957,10.57931594,11.7652861,13.53782506,10.22158712
